都道府県別,男(国立),女(国立),男(公立),女(公立),男(私立),女(私立)
北海道,23945,10701,3188,1945,34165,18716
青森県,3835,2943,928,1216,4780,2258
岩手県,3922,2277,1037,1105,3107,1844
宮城県,14667,5495,695,1174,19606,16158
秋田県,3265,1806,1538,946,1122,419
山形県,6308,3096,115,304,1381,1621
福島県,2572,1998,1869,822,7429,2405
茨城県,15910,9407,289,498,7403,4695
栃木県,3579,2081,0,0,10414,6728
群馬県,4667,2300,3982,2793,6624,6108
埼玉県,5987,2934,281,1117,68326,46763
千葉県,10776,6187,0,0,66121,34439
東京都,51468,25381,6454,2925,348099,267322
神奈川県,10252,3395,2571,3050,113843,67203
新潟県,11254,5700,34,344,6768,4615
富山県,5672,3521,878,137,783,328
石川県,7760,3706,568,1040,11656,3717
福井県,3587,1468,823,940,2309,593
山梨県,3312,1419,1305,2887,5862,3146
長野県,8153,3600,30,364,3360,1560
岐阜県,4980,2725,459,624,7240,4653
静岡県,8212,3652,1226,1610,12463,8842
愛知県,20775,8476,3228,5407,84705,65530
三重県,4770,2754,57,381,4775,2627
滋賀県,2912,2247,1367,1265,20821,8222
京都府,22082,7384,1735,2682,63378,62545
大阪府,19107,11205,11045,6378,116985,61880
兵庫県,12380,6730,4855,4492,41598,51644
奈良県,1425,3958,815,959,10777,7331
和歌山県,3088,1606,893,668,2057,456
鳥取県,4280,2137,0,0,680,167
島根県,3915,2370,601,425,0,0
岡山県,9042,5519,854,937,11786,12370
広島県,9950,6035,2742,3324,22003,15368
山口県,7100,3765,1626,1954,2853,1699
徳島県,5841,3170,0,0,2309,3324
香川県,4077,2561,34,253,2208,1281
愛媛県,6177,3691,41,301,3705,3343
高知県,3105,2580,28,1052,1882,209
福岡県,20590,7753,3993,5359,50983,33964
佐賀県,4736,2755,0,0,522,832
長崎県,5998,3337,1525,1642,2292,4445
熊本県,6637,3823,732,1474,9979,7407
大分県,3632,2298,37,334,6125,4473
宮崎県,3650,1997,273,1103,2401,1642
鹿児島県,7789,4329,0,0,4520,2507
沖縄県,5042,3356,204,784,6029,4713
